               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.021028,           0.0074672,            0.001942,             0.93694,             0.92403,             0.94526,             0.71549,            0.022304,           0.0049049,           0.0015043,           0.0086437,           0.0086437,           0.0086437
                 139,            0.021574,           0.0079931,           0.0020741,             0.92928,             0.93918,             0.95744,             0.74572,            0.020034,           0.0046996,           0.0014517,           0.0086338,           0.0086338,           0.0086338
                 140,            0.021467,           0.0078791,           0.0013905,             0.96724,             0.90785,             0.94771,             0.73248,            0.021058,           0.0057884,           0.0021018,           0.0086239,           0.0086239,           0.0086239
                 141,            0.021658,           0.0073991,           0.0015656,             0.96451,             0.90782,              0.9567,             0.73352,            0.020064,           0.0046625,           0.0014469,            0.008614,            0.008614,            0.008614
                 142,             0.02211,           0.0077904,           0.0028341,             0.97249,             0.94104,             0.96511,             0.75288,            0.019402,           0.0042993,           0.0015644,           0.0086041,           0.0086041,           0.0086041
                 143,            0.020531,           0.0071799,             0.00238,             0.93989,             0.94708,             0.96442,             0.74495,            0.019791,           0.0041483,            0.001499,           0.0085942,           0.0085942,           0.0085942
                 144,             0.02207,           0.0073431,           0.0018191,             0.97367,             0.91979,             0.96265,             0.74394,            0.020819,           0.0041847,           0.0014296,           0.0085843,           0.0085843,           0.0085843
                 145,            0.022168,           0.0078527,           0.0015783,             0.97748,             0.93093,             0.96713,             0.72671,            0.020844,            0.004118,           0.0013649,           0.0085744,           0.0085744,           0.0085744
                 146,            0.021333,           0.0074752,           0.0017001,             0.94098,             0.93824,             0.96645,             0.74927,             0.01969,           0.0041792,           0.0018732,           0.0085645,           0.0085645,           0.0085645
                 147,            0.022244,           0.0075726,           0.0017523,             0.93649,             0.93295,              0.9616,             0.74852,            0.019558,           0.0043541,           0.0022724,           0.0085546,           0.0085546,           0.0085546
                 148,            0.022173,           0.0085786,           0.0020999,             0.95166,             0.94516,             0.96042,              0.7607,            0.018892,           0.0043558,           0.0017971,           0.0085447,           0.0085447,           0.0085447
                 149,            0.021623,           0.0078134,           0.0020309,             0.96148,              0.9055,             0.96152,             0.72906,            0.020911,           0.0044627,           0.0015828,           0.0085348,           0.0085348,           0.0085348
                 150,            0.022057,           0.0078374,             0.00167,             0.98085,             0.90809,             0.96507,             0.75684,            0.020859,           0.0044882,           0.0016897,           0.0085249,           0.0085249,           0.0085249
                 151,            0.020695,           0.0067367,           0.0014704,             0.95551,             0.93532,             0.96641,             0.76627,            0.019739,           0.0040432,           0.0014565,            0.008515,            0.008515,            0.008515
